time,acc_x,acc_y,acc_z
2173348.523,1.714,-9.921,1.931
2173348.543,1.392,-8.902,-1.236
2173348.563,0.143,-8.016,-2.398
2173348.582,0.061,-6.25,-2.616
2173348.602,0.864,-4.035,-2.911
2173348.622,1.983,-1.757,-2.963
2173348.642,1.431,0.023,-2.778
2173348.661,0.032,1.449,-2.123
2173348.681,-1.328,2.297,-1.26
2173348.701,-1.606,1.019,0.955
2173348.721,-0.924,-1.303,6.014
2173348.74,0.215,-5.437,11.938
2173348.76,-1.673,-14.261,14.883
2173348.78,-3.197,-28.279,14.2
2173348.8,0.311,-21.574,6.105
2173348.82,-0.967,-5.016,2.534
2173348.839,-2.399,2.842,2.173
2173348.859,-4.902,1.143,9.202
2173348.879,-4.292,-16.147,5.83
2173348.899,6.352,-32.897,-0.274
2173348.918,8.812,-20.641,-4.921
2173348.938,-6.388,-3.748,0.599
2173348.958,-7.386,-1.388,-6.742
2173348.978,-2.086,-8.007,-8.34
2173348.997,1.729,-16.3,-0.582
2173349.017,7.779,-18.597,0.685
2173349.037,10.177,-14.161,0.22
2173349.057,4.847,-7.973,0.571
2173349.077,0.037,-5.332,1.192
2173349.096,-1.207,-4.877,2.719
2173349.116,0.489,-5.6,2.847
2173349.136,3.458,-7.533,2.738
2173349.156,4.078,-7.605,1.903
2173349.175,3.007,-6.26,-0.183
2173349.195,2.93,-6.241,-1.658
2173349.215,1.94,-9.567,1.22
2173349.235,0.407,-12.314,5.232
2173349.254,1.322,-9.796,6.005
2173349.274,5.223,-7.734,3.121
2173349.294,5.862,-10.045,0.266
2173349.314,3.474,-12.185,0.794
2173349.334,2.306,-13.051,3.108
2173349.353,1.965,-12.414,5.327
2173349.373,4.171,-12.156,4.9
2173349.393,8.769,-16.42,0.547
2173349.413,3.133,-16.166,-0.065
2173349.432,-3.099,-15.08,1.295
2173349.452,-1.436,-16.347,-1.867
2173349.472,1.159,-19.788,-3.788
2173349.492,2.043,-22.009,-1.17
2173349.511,2.159,-16.027,2.988
2173349.531,1.822,-11.662,3.719
2173349.551,1.174,-10.27,0.878
2173349.571,0.881,-8.944,-1.047
2173349.59,1.198,-7.413,-2.071
2173349.61,0.934,-5.274,-2.513
2173349.63,0.896,-3.015,-2.252
2173349.65,1.141,-1.191,-1.768
2173349.67,0.94,-0.263,-1.797
2173349.689,0.224,0.139,-2.38
2173349.709,-0.208,0.756,-2.556
2173349.729,-0.823,0.441,-0.91
2173349.749,-1.001,-1.412,2.722
2173349.768,0.522,-5.398,8.342
2173349.788,0.681,-14.624,15.996
2173349.808,-2.87,-30.694,20.587
2173349.828,-3.057,-22.573,3.69
2173349.847,-3.345,-3.713,1.376
2173349.867,-5.114,-0.134,5.378
2173349.887,-7.069,-15.816,6.445
2173349.907,1.667,-27.416,-1.921
2173349.927,7.544,-13.782,-1.57
2173349.946,-0.764,-3.201,-1.906
2173349.966,-3.714,-2.827,-3.96
2173349.986,0.467,-8.781,-7.407
2173350.006,3.388,-16.586,0.356
2173350.025,7.742,-17.337,1.636
2173350.045,9.054,-13.255,0.075
2173350.065,2.85,-9.79,1.166
2173350.085,-1.186,-6.727,2.001
2173350.104,-1.974,-5.272,2.176
2173350.124,-0.907,-6.359,1.958
2173350.144,1.952,-8.608,2.485
2173350.164,2.472,-9.053,2.878
2173350.183,1.145,-7.498,2.204
2173350.203,1.227,-6.655,1.716
2173350.223,2.071,-6.892,0.992
2173350.243,2.48,-8.03,1.191
2173350.263,2.321,-8.835,2.06
2173350.282,2.687,-8.547,2.135
2173350.302,3.243,-9.121,1.893
2173350.322,2.59,-10.328,1.139
2173350.342,2.091,-11.567,1.903
2173350.361,2.321,-12.849,3.169
2173350.381,3.359,-12.582,4.554
2173350.401,5.555,-11.782,4.108
2173350.421,8.568,-15.759,0.637
2173350.44,3.229,-15.716,-0.212
2173350.46,-2.835,-15.711,0.537
2173350.48,-3.118,-17.013,-1.374
2173350.5,-0.38,-20.645,-2.024
2173350.52,2.561,-20.315,-0.184
2173350.539,3.527,-14.281,1.476
2173350.559,2.393,-11.572,2.548
2173350.579,1.869,-10.471,1.163
2173350.599,1.279,-9.878,-1.08
2173350.618,0.495,-8.657,-2.048
2173350.638,0.264,-6.782,-2.631
2173350.658,0.255,-4.547,-2.693
2173350.678,0.399,-2.125,-2.289
2173350.697,0.048,-0.374,-2.394
2173350.717,-0.826,0.746,-2.773
2173350.737,-1.389,0.804,-1.796
2173350.757,-1.595,-0.402,-0.051
2173350.776,-0.716,-2.197,2.737
2173350.796,0.783,-6.183,8.978
2173350.816,0.74,-14.821,16.002
2173350.836,-1.149,-27.096,14.717
2173350.856,-1.696,-21.325,5.051
2173350.875,-2.696,-5.044,2.591
2173350.895,-5.29,-2.838,5.877
2173350.915,-6.218,-19.884,9.31
2173350.935,2.398,-25.723,0.608
2173350.954,7.569,-9.572,-3.66
2173350.974,-0.308,-0.79,-3.721
2173350.994,-4.738,-2.867,-2.413
2173351.014,-1.745,-10.395,-6.506
2173351.033,2.345,-18.367,-1.412
2173351.053,6.564,-18.028,1.604
2173351.073,7.294,-11.864,0.253
2173351.093,2.571,-8.667,0.129
2173351.113,-0.432,-6.839,1.225
2173351.132,-1.288,-5.623,2.5
2173351.152,-0.688,-6.308,2.453
2173351.172,2.542,-8.284,2.055
2173351.192,4.017,-8.897,1.917
2173351.211,2.515,-6.934,0.47
2173351.231,1.67,-5.834,-1.413
2173351.251,1.463,-7.437,-1.109
2173351.271,-0.089,-11.829,3.344
2173351.29,-1.343,-12.715,6.777
2173351.31,0.656,-8.681,3.913
2173351.33,2.434,-8.159,1.215
2173351.35,1.93,-9.939,1.769
2173351.37,2.929,-10.614,2.045
2173351.389,3.986,-10.59,2.452
2173351.409,5.928,-12.619,2.732
2173351.429,9.681,-16.399,-0.251
2173351.449,4.688,-16.404,-1.086
2173351.468,-3.697,-13.466,1.276
2173351.488,-6.099,-14.332,0.489
2173351.508,-4.293,-17.256,-3.305
2173351.528,-2.996,-19.199,-2.793
2173351.547,-1.352,-15.404,-1.105
2173351.567,0.47,-11.255,0.792
2173351.587,2.051,-10.159,1.29
2173351.607,4.573,-9.245,-0.469
2173351.627,4.689,-8.781,-2.651
2173351.646,2.238,-8.078,-4.462
2173351.666,-0.487,-6.785,-4.618
2173351.686,-3.052,-6.154,-4.106
2173351.706,-4.749,-5.799,-3.552
2173351.725,-5.196,-5.259,-2.722
2173351.745,-4.283,-5.144,-1.565
2173351.765,-1.356,-6.652,-1.527
2173351.785,1.445,-8.805,-2.143
2173351.804,1.877,-10.556,-0.711
2173351.824,0.792,-13.466,3.827
2173351.844,0.287,-16.323,6.824
2173351.864,-0.496,-13.815,4.96
2173351.884,-3.874,-9.767,0.892
2173351.903,-5.181,-9.273,-3.969
2173351.923,-1.313,-10.178,-6.72
2173351.943,2.517,-9.881,-4.221
2173351.963,2.488,-9.336,-1.015
2173351.982,2.306,-9.47,1.124
2173352.002,2.104,-9.178,1.783
2173352.022,0.917,-9.388,2.234
2173352.042,-0.111,-9.494,1.603
2173352.061,-0.202,-8.852,0.275
2173352.081,0.192,-9.254,-0.602
2173352.101,0.374,-10.164,-1.072
2173352.121,0.259,-10.341,-1.465
2173352.14,0.365,-10.437,-1.356
2173352.16,0.576,-10.322,-0.46
2173352.18,0.567,-9.953,0.45
2173352.2,0.437,-9.833,0.844
2173352.22,0.309,-9.72,0.684
2173352.239,0.261,-9.629,0.181
2173352.259,0.333,-9.7,-0.326
2173352.279,0.424,-9.863,-0.549
2173352.299,0.52,-10.04,-0.568
2173352.318,0.419,-9.935,-0.492
2173352.338,0.395,-9.547,-0.431
2173352.358,0.535,-9.37,-0.578
2173352.378,0.717,-9.672,-0.772
2173352.397,0.751,-9.944,-0.644
2173352.417,0.847,-9.949,-0.25
2173352.437,1.126,-9.892,-0.042
2173352.457,1.443,-9.883,0.119
2173352.477,1.808,-9.983,0.537
2173352.496,2.164,-10.035,0.859
2173352.516,2.303,-9.907,0.968
2173352.536,2.115,-9.681,0.859
2173352.556,1.721,-9.672,0.617
2173352.575,1.337,-9.772,0.452
2173352.595,0.707,-9.763,0.413
2173352.615,0.04,-9.768,0.608
2173352.635,-0.378,-9.844,0.973
2173352.654,-0.58,-9.978,1.537
2173352.674,-0.504,-10.059,1.831
2173352.694,-0.35,-9.887,1.808
2173352.714,-0.081,-9.748,1.737
2173352.733,0.563,-9.839,1.708
2173352.753,1.471,-9.772,1.955
2173352.773,2.033,-9.715,2.111
2173352.793,1.904,-9.83,1.96
2173352.813,1.231,-9.729,1.708
2173352.832,0.88,-9.232,1.751
2173352.852,0.9,-9.112,2.007
2173352.872,1.24,-11.486,2.576
2173352.892,1.394,-15.726,3.724
2173352.911,1.361,-13.835,3.482
2173352.931,1.245,-10.05,3.444
2173352.951,2.197,-9.279,3.017
2173352.971,4.537,-9.418,2.007
2173352.99,7.603,-10.136,0.38
2173353.01,7.982,-10.686,-1.128
2173353.03,5.344,-10.581,0.081
2173353.05,2.254,-10.021,1.03
2173353.07,0.111,-9.6,0.328
2173353.089,-0.403,-9.303,-0.435
2173353.109,0.207,-9.045,-0.577
2173353.129,0.673,-8.782,-0.445
2173353.149,0.981,-8.758,-0.146
2173353.168,0.986,-8.964,-0.041
2173353.188,1.005,-9.102,-0.041
2173353.208,0.945,-9.207,0.114
2173353.228,0.786,-9.241,0.209
2173353.247,0.628,-9.236,0.133
2173353.267,0.633,-9.513,0.095
2173353.287,1.373,-10.317,0.456
2173353.307,1.061,-11.365,0.731
2173353.326,-1.212,-12.188,1.423
2173353.346,-4.326,-12.624,0.911
2173353.366,-6.825,-11.131,-1.816
2173353.386,-6.68,-9.91,-1.726
2173353.406,-4.206,-9.647,-1.048
2173353.425,-1.029,-10.437,-2.276
2173353.445,3.142,-10.432,-2.494
2173353.465,6.298,-10.71,-1.043
2173353.485,5.924,-10.82,1.186
2173353.504,3.896,-9.193,2.372
2173353.524,1.638,-8.657,1.513
2173353.544,0.22,-9.154,0.171
2173353.564,-0.616,-9.891,-0.73
2173353.583,-1,-10.374,-1.138
2173353.603,-1.221,-10.734,-1.356
2173353.623,-1.437,-10.891,-0.972
2173353.643,-0.986,-10.551,-0.322
2173353.663,-0.039,-9.752,0
2173353.682,0.643,-9.355,0.351
2173353.702,0.792,-9.508,0.559
2173353.722,0.768,-9.671,0.114
2173353.742,0.956,-9.695,-0.967
2173353.761,0.97,-9.766,-1.736
2173353.781,0.778,-9.771,-1.807
2173353.801,0.48,-9.762,-1.238
2173353.821,-0.063,-9.872,-0.564
2173353.84,-0.908,-10.054,-0.104
2173353.86,-1.745,-10.14,0.109
2173353.88,-2.062,-10.159,0.256
2173353.9,-1.668,-9.982,0.213
2173353.919,-0.899,-9.666,-0.28
2173353.939,-0.246,-9.561,-0.82
2173353.959,-0.019,-9.666,-1.105
2173353.979,0.144,-9.824,-1.138
2173353.999,0.317,-9.814,-0.731
2173354.018,0.582,-9.718,-0.086
2173354.038,0.913,-9.809,0.379
2173354.058,1.052,-9.968,0.493
2173354.078,0.952,-9.944,0.308
2173354.097,0.577,-10.039,-0.071
2173354.117,0.106,-10.149,-0.261
2173354.137,-0.288,-9.901,-0.18
2173354.157,-0.471,-9.766,0
2173354.176,-0.461,-9.675,0.099
2173354.196,-0.37,-9.805,0.085
2173354.216,-0.275,-10.025,-0.061
2173354.236,-0.074,-9.714,-0.199
2173354.256,0.089,-9.647,-0.298
2173354.275,-0.016,-9.858,-0.166
2173354.295,-0.069,-9.892,0.299
2173354.315,-0.04,-9.868,0.868
2173354.335,-0.108,-10.25,1.65
2173354.354,-0.04,-10.686,2.599
2173354.374,0.056,-10.71,3.41
2173354.394,-0.098,-10.973,3.837
2173354.414,-0.242,-11.293,3.951
2173354.433,-0.607,-11.509,3.32
2173354.453,-1.496,-11.586,1.793
2173354.473,-1.78,-11.341,1.219
2173354.493,-0.982,-10.959,3.282
2173354.513,-0.569,-10.896,3.097
2173354.532,-0.329,-10.575,0.456
2173354.552,0.378,-10.647,1.646
2173354.572,0.421,-10.423,4.43
2173354.592,-0.324,-9.834,4.468
2173354.611,-0.929,-9.336,3.984
2173354.631,-1.338,-8.911,3.742
2173354.651,-1.16,-7.982,3.467
2173354.671,-0.477,-6.393,2.974
2173354.69,-0.156,-4.46,2.974
2173354.71,0.108,-2.876,2.751
2173354.73,0.584,-1.397,1.584
2173354.75,0.234,-0.808,1.755
2173354.769,-0.386,-2.675,4.534
2173354.789,-1.275,-4.895,8.043
2173354.809,-2.991,-6.795,10.704
2173354.829,-5.014,-8.312,10.547
2173354.849,-5.586,-8.772,8.427
2173354.868,-5.456,-8.954,7.156
2173354.888,-3.245,-8.829,7.488
2173354.908,-2.112,-8.121,8.157
2173354.928,-1.833,-5.589,5.426
2173354.947,-1.703,-2.895,4.705
2173354.967,-7.493,-10.49,14.151
2173354.987,-5.797,-28.301,8.281
2173355.007,1.829,-27.388,6.132
2173355.026,-3.323,0.053,-5.871
2173355.046,-13.932,6.542,1.006
2173355.066,-3.01,0.895,3.088
2173355.086,7.201,-7.097,-9.218
2173355.105,2.209,-20.147,1.992
2173355.125,4.4,-23.248,4.799
2173355.145,4.001,-13.5,0.527
2173355.165,-1.203,-7.317,1.674
2173355.185,-2.506,-5.948,2.11
2173355.204,-1.279,-6.704,0.972
2173355.224,0.417,-7.651,0.564
2173355.244,1.504,-8.537,0.621
2173355.264,1.979,-8.814,1.067
2173355.283,2.022,-8.92,1.94
2173355.303,1.677,-8.096,2.153
2173355.323,0.639,-7.254,1.304
2173355.343,0.014,-6.881,0.546
2173355.362,-0.269,-7.249,0.057
2173355.382,-0.985,-8.091,-1.28
2173355.402,-2.283,-10.561,0.033
2173355.422,-1.884,-12.614,1.204
2173355.442,1.177,-12.336,2.309
2173355.461,3.878,-10.987,3.633
2173355.481,3.882,-11.216,3.163
2173355.501,3.08,-12.346,1.655
2173355.521,3.09,-14.542,1.622
2173355.54,7.112,-15.787,0.982
2173355.56,7.895,-14.883,-0.669
2173355.58,0.932,-14.36,1.921
2173355.6,-2.244,-12.236,3.163
2173355.619,-2.662,-12.795,1.622
2173355.639,-2.907,-16.452,-1.361
2173355.659,-2.335,-20.189,-7.095
2173355.679,-1.571,-18.921,-1.873
2173355.699,-1.946,-14.002,4.069
2173355.718,-2.157,-12.274,2.86
2173355.738,-1.84,-11.485,-1.267
2173355.758,-1.201,-10.035,-2.224
2173355.778,-0.85,-7.976,-1.935
2173355.797,0.202,-5.335,-2.338
2173355.817,0.885,-3.143,-2.016
2173355.837,1.384,-1.401,-1.285
2173355.857,1.716,-0.071,-0.968
2173355.876,1.649,0.47,-0.636
2173355.896,1.053,1.403,-0.356
2173355.916,0.457,1.805,0.659
2173355.936,0.063,0.016,3.917
2173355.956,0.741,-5.33,9.257
2173355.975,-1.071,-15.504,14.971
2173355.995,-7.649,-33.038,18.864
2173356.015,-7.212,-23.089,3.945
2173356.035,-5.905,-2.957,0.156
2173356.054,-5.823,3.811,2.328
2173356.074,-9.009,-8.317,9.114
2173356.094,-0.581,-23.912,3.063
2173356.114,8.112,-20.108,-6.312
2173356.133,-3.108,-6.101,-2.281
2173356.153,-11.777,-2.731,2.366
2173356.173,-2.599,-4.736,-8.56
2173356.193,1.822,-12.925,-2.969
2173356.212,4.436,-19.773,2.893
2173356.232,9.188,-17.352,-0.807
2173356.252,6.036,-12.035,0.569
2173356.272,0.477,-7.407,1.707
2173356.292,-1.715,-4.861,1.318
2173356.311,-1.604,-4.99,1.489
2173356.331,-0.61,-7.091,1.911
2173356.351,0.76,-9.163,2.28
2173356.371,0.832,-8.728,1.83
2173356.39,0.049,-7.177,0.858
2173356.41,0.434,-6.215,-0.408
2173356.43,-0.278,-7.919,-0.01
2173356.45,-1.392,-11.714,2.973
2173356.469,0.386,-12.092,3.58
2173356.489,4.422,-9.221,2.195
2173356.509,4.518,-10.365,1.664
2173356.529,1.553,-12.633,1.986
2173356.549,0.856,-14.767,1.607
2173356.568,3.105,-17.232,0.692
2173356.588,3.932,-17.035,0.934
2173356.608,-0.066,-14.217,3.428
2173356.628,-2.012,-12.279,3.21
2173356.647,-2.411,-12.082,1.801
2173356.667,-2.291,-14.935,-2.324
2173356.687,-1.21,-21.208,-7.541
2173356.707,-0.129,-19.869,-0.816
2173356.726,-1.464,-14.49,4.367
2173356.746,-2.324,-12.288,2.551
2173356.766,-2.137,-11.173,-0.342
2173356.786,-0.984,-9.776,-1.247
2173356.806,0.16,-7.818,-1.827
2173356.825,0.496,-4.727,-1.679
2173356.845,0.621,-2.487,-1.456
2173356.865,1.222,-0.64,-1.642
2173356.885,1.376,0.169,-1.637
2173356.904,1.025,0.322,-1.533
2173356.924,0.496,0.977,-0.992
2173356.944,-0.114,1.126,0.54
2173356.964,-0.657,-0.343,2.427
2173356.983,0.078,-5.11,8.379
2173357.003,0.098,-15.174,18.124
2173357.023,-6.928,-28.602,18.286
2173357.043,-9.421,-20.969,4.542
2173357.062,-5.342,-3.597,-0.262
2173357.082,-3.391,1.489,-0.641
2173357.102,-10.81,-7.742,8.512
2173357.122,-8.302,-29.009,2.446
2173357.142,7.219,-24.367,0.151
2173357.161,3.115,-3.119,-5.502
2173357.181,-8.013,1.949,1.057
2173357.201,-3.785,-3.497,-6.919
2173357.221,0.9,-13.762,-4.055
2173357.24,3.47,-21.237,3.651
2173357.26,9.491,-17.213,-0.465
2173357.28,5.931,-11.322,0.474
2173357.3,-0.124,-7.187,2.02
2173357.319,-2.234,-4.784,2.257
2173357.339,-1.907,-5.01,2.324
2173357.359,-0.855,-7.709,1.759
2173357.379,0.404,-10.024,1.968
2173357.399,-0.004,-9.024,1.754
2173357.418,-0.951,-6.622,1.247
2173357.438,-0.389,-6.101,-0.716
2173357.458,-0.696,-7.723,-0.669
2173357.478,-1.114,-10.278,1.038
2173357.497,0.722,-10.848,2.475
2173357.517,2.5,-10.02,3.305
2173357.537,2.37,-11.087,2.579
2173357.557,1.077,-12.336,2.091
2173357.576,0.116,-13.867,3.215
2173357.596,2.99,-15.887,3.471
2173357.616,6.665,-17.73,1.583
2173357.636,1.644,-15.045,1.076
2173357.655,-4.088,-13.327,2.096
2173357.675,-6.064,-14.681,0.73
2173357.695,-5.391,-18.586,-4.619
2173357.715,-3.473,-22.788,-5.511
2173357.735,-1.374,-16.916,0.829
2173357.754,-0.961,-11.714,3.756
2173357.774,-0.6,-10.082,1.996
2173357.794,-0.504,-9.776,-0.764
2173357.814,-0.321,-8.948,-2.253
2173357.833,0.28,-7.221,-2.613
2173357.853,0.664,-5.22,-3.277
2173357.873,1.034,-3.578,-3.202
2173357.893,0.573,-1.899,-3.083
2173357.912,-0.34,-0.325,-2.699
2173357.932,-0.946,1.365,-2.599
2173357.952,-1.239,2.064,-1.229
2173357.972,-1.758,0.235,2.821
2173357.992,-1.388,-3.861,8.944
2173358.011,-1.994,-11.504,16.313
2173358.031,-7.063,-25.037,15.498
2173358.051,-5.843,-22.744,5.889
2173358.071,-2.993,-6.105,1.659
2173358.09,-1.08,2.403,0.877
2173358.11,-5.449,-2.181,4.841
2173358.13,-8.043,-23.621,4.235
2173358.15,0.89,-33.536,2.736
2173358.169,4.657,-12.255,-6.298
2173358.189,-6.275,2.355,-3.429
2173358.209,-6.519,0.274,-6.73
2173358.229,-2.098,-10.072,-7.517
2173358.248,0.583,-19.131,1.47
2173358.268,6.686,-20.624,0.478
2173358.288,7.945,-13.958,-1.319
2173358.308,1.006,-7.1,-0.228
2173358.328,-2.761,-4.832,1.351
2173358.347,-2.997,-5.22,2.143
2173358.367,-1.387,-8.129,2.536
2173358.387,0.007,-9.852,2.337
2173358.407,0.002,-7.665,1.583
2173358.426,0.065,-6.464,0.104
2173358.446,-0.286,-8.885,0.426
2173358.466,-0.949,-11.077,2.432
2173358.486,-0.32,-9.66,3.618
2173358.505,1.78,-8.527,3.537
2173358.525,2.698,-10.469,1.688
2173358.545,2.112,-10.924,0.056
2173358.565,0.819,-12.719,1.678
2173358.584,0.185,-14.341,4.187
2173358.604,3.558,-17.585,2.64
2173358.624,4.356,-19.045,-0.959
2173358.644,-1.925,-13.891,0.644
2173358.664,-5.235,-12.273,2.2
2173358.683,-5.11,-14.9,-1.765
2173358.703,-3.169,-20.337,-6.735
2173358.723,-2.515,-21.065,-1.11
2173358.743,-1.819,-14.35,3.712
2173358.762,-0.905,-10.9,2.214
2173358.782,-1.045,-9.751,-0.702
2173358.802,-0.983,-8.665,-1.689
2173358.822,0.113,-7.277,-2.026
2173358.841,0.767,-5.201,-2.391
2173358.861,1.213,-3.382,-2.358
2173358.881,1.367,-2.128,-2.012
2173358.901,0.68,-1.132,-1.907
2173358.921,-0.127,0.121,-2.007
2173358.94,-0.492,1.145,-2.064
2173358.96,-1.103,0.71,-0.281
2173358.98,-0.858,-1.745,3.404
2173359,0.06,-6.899,10.077
2173359.019,-3.596,-17.576,18.304
2173359.039,-9.396,-30.238,14.937
2173359.059,-5.835,-17.255,1.815
2173359.079,-6.84,-4.86,3.063
2173359.098,-11.986,-15.059,5.614
2173359.118,-4.951,-22.108,0.265
2173359.138,3.804,-6.358,-2.709
2173359.158,0.143,0.49,-2.377
2173359.178,-0.819,-1.343,-1.955
2173359.197,2.339,-9.541,-9.206
2173359.217,0.686,-20.701,0.653
2173359.237,3.751,-19.681,4.713
2173359.257,5.529,-10.943,-0.746
2173359.276,0.446,-8.354,-0.319
2173359.296,-3.207,-7.627,0.492
2173359.316,-3.308,-6.579,1.706
2173359.336,-2.049,-6.789,1.73
2173359.355,-0.544,-8.22,1.768
2173359.375,0.431,-8.961,2.109
2173359.395,0.474,-7.713,2.114
2173359.415,0.565,-6.65,1.104
2173359.434,1.215,-6.77,-0.717
2173359.454,0.191,-8.766,-0.371
2173359.474,-2.173,-11.895,2.683
2173359.494,-2.275,-11.264,3.029
2173359.514,0.734,-9.727,1.677
2173359.533,1.839,-11.115,1.161
2173359.553,1.143,-12.134,1.54
2173359.573,0.849,-13.441,3.124
2173359.593,1.364,-13.805,4.769
2173359.612,5.054,-16.719,3.081
2173359.632,5.914,-17.6,-0.38
2173359.652,-2.221,-13.69,1.246
2173359.672,-7.065,-13.307,2.366
2173359.691,-6.691,-15.135,-2.225
2173359.711,-4.639,-19.025,-5.35
2173359.731,-2.409,-18.963,-1.419
2173359.751,-0.607,-13.742,2.541
2173359.771,0.032,-11.01,2.475
2173359.79,-0.275,-9.593,-0.3
2173359.81,-0.905,-8.387,-1.589
2173359.83,-0.358,-7.339,-2.135
2173359.85,-0.156,-5.674,-2.766
2173359.869,0.258,-3.659,-2.581
2173359.889,0.522,-1.903,-2.301
2173359.909,-0.146,-0.664,-2.073
2173359.929,-0.766,0.337,-1.761
2173359.948,-1.011,0.581,-1.238
2173359.968,-1.467,-0.525,0.616
2173359.988,-1.938,-3.166,3.93
2173360.008,-2.092,-8.966,11.172
2173360.028,-4.072,-20.303,18.138
2173360.047,-6.705,-28.577,13.211
2173360.067,-6.364,-13.723,3.105
2173360.087,-4.321,-0.764,1.616
2173360.107,-4.826,0.911,3.973
2173360.126,-10.342,-15.662,6.244
2173360.146,-3.284,-28.688,3.779
2173360.166,7.869,-16.446,-4.122
2173360.186,1.137,-2.3,-7.646
2173360.205,-7.32,-1.214,-1.443
2173360.225,-4.596,-7.186,-5.664
2173360.245,-0.377,-12.939,-1.979
2173360.265,2.458,-16.126,1.019
2173360.285,5.697,-15.814,-0.637
2173360.304,2.382,-11.417,0.189
2173360.324,-0.819,-6.631,1.635
2173360.344,-1.121,-5.129,2.783
2173360.364,-0.285,-6.182,2.678
2173360.383,1.286,-8.158,2.332
2173360.403,1.411,-8.99,1.74
2173360.423,0.407,-8.254,0.871
2173360.443,-0.747,-8.617,0.573
2173360.462,-1.602,-9.771,1.246
2173360.482,-1.804,-10.182,2.204
2173360.502,-0.52,-10.158,1.545
2173360.522,0.777,-9.378,1.194
2173360.541,0.983,-9.545,2.019
2173360.561,1.397,-11.402,1.488
2173360.581,1.555,-12.369,0.274
2173360.601,2.295,-16.289,-0.039
2173360.621,4.674,-20.093,-0.94
2173360.64,0.613,-17.767,0.075
2173360.66,-4.34,-12.976,3.318
2173360.68,-3.234,-10.311,3.641
2173360.7,-3.148,-11.344,1.991
2173360.719,-3.268,-15.288,-3.34
2173360.739,-2.485,-16.049,-7.252
2173360.759,-2.446,-15.556,-2.742
2173360.779,-3.033,-13.661,3.959
2173360.798,-2.139,-11.536,3.432
2173360.818,-2.043,-9.675,-1.353
2173360.838,-1.341,-7.104,-2.467
2173360.858,-0.241,-5.549,-1.424
2173360.878,0.317,-4.315,-1.182
2173360.897,1.032,-3.333,-1.343
2173360.917,1.253,-2.712,-1.078
2173360.937,0.653,-2.166,-0.433
2173360.957,-0.231,-1.453,0.345
2173360.976,-1.038,-0.62,1.008
2173360.996,-1.942,-0.184,1.948
2173361.016,-2.639,-1.649,4.75
2173361.036,-2.768,-6.88,10.726
2173361.055,-3.643,-16.987,12.864
2173361.075,-5.704,-26.592,9.27
2173361.095,-5.795,-15.546,2.673
2173361.115,-5.056,-3.587,2.991
2173361.134,-9.591,-12.273,6.088
2173361.154,-7.823,-23.773,2.521
2173361.174,4.06,-13.416,1.715
2173361.194,6.122,-4.272,-5.72
2173361.214,-1.408,-5.008,-5.659
2173361.233,-4.868,-11.574,-4.079
2173361.253,-3.037,-15.709,-0.836
2173361.273,1.014,-13.249,0.828
2173361.293,3.363,-9.827,-0.765
2173361.312,1.533,-9.784,0.188
2173361.332,-1.413,-9.426,1.042
2173361.352,-2.552,-8.033,2.09
2173361.372,-2.484,-7.497,2.972
2173361.391,-1.379,-7.952,2.521
2173361.411,-0.01,-8.99,2.095
2173361.431,0.677,-9.488,2.033
2173361.451,0.721,-8.957,2.113
2173361.47,0.404,-9.167,1.871
2173361.49,0.577,-9.732,1.303
2173361.51,0.461,-10.024,0.696
2173361.53,-0.361,-10.717,1.061
2173361.55,-0.48,-9.904,1.692
2173361.569,0.317,-8.368,2.17
2173361.589,0.432,-8.263,1.317
2173361.609,-0.913,-8.928,0.292
2173361.629,-2.354,-9.789,-0.253
2173361.648,-2.278,-10.024,-0.661
2173361.668,-1.346,-9.856,-1.182
2173361.688,-0.198,-10.909,-0.689
2173361.708,1.73,-13.952,-0.319
2173361.727,1.556,-17.485,-1.097
2173361.747,-0.236,-15.427,-0.03
2173361.767,-1.827,-13.331,0.487
2173361.787,-3.446,-11.168,-0.414
2173361.807,-4.623,-8.536,-0.665
2173361.826,-5.089,-6.621,-0.177
2173361.846,-5.065,-6.99,-1.415
2173361.866,-4.407,-10.139,-2.092
2173361.886,-2.317,-12.316,-1.633
2173361.905,-0.395,-11.837,-0.698
2173361.925,-0.419,-10.239,-0.357
2173361.945,-1.461,-8.985,-0.281
2173361.965,-2.245,-8.708,-0.362
2173361.984,-2.528,-8.449,-0.684
2173362.004,-2.264,-7.655,-0.708
2173362.024,-1.759,-6.837,-0.561
2173362.044,-1.677,-6.468,-0.181
2173362.063,-2.014,-6.42,0.321
2173362.083,-2.456,-6.573,0.625
2173362.103,-2.596,-7.033,0.179
2173362.123,-2.648,-8.224,-0.438
2173362.143,-3.398,-11.426,0.956
2173362.162,-3.455,-16.523,3.579
2173362.182,-0.717,-17.097,3.821
2173362.202,0.35,-11.522,3.522
2173362.222,-3.297,-6.947,1.189
2173362.241,-4.907,-6.076,-2.581
2173362.261,-4.489,-6.655,-2.487
2173362.281,-3.46,-9.268,-0.03
2173362.301,-1.894,-10.316,-0.693
2173362.32,0.23,-10.411,-1.206
2173362.34,1.436,-10.272,-0.456
2173362.36,0.764,-10.244,0.886
2173362.38,-0.746,-10.569,1.161
2173362.4,-1.788,-10.593,0.814
2173362.419,-1.971,-10.392,1.303
2173362.439,-1.649,-9.99,1.488
