time,acc_x,acc_y,acc_z
2173337.552,2.307,-8.362,1.226
2173337.572,2.379,-9.377,1.51
2173337.592,2.675,-11.679,1.549
2173337.611,2.771,-10.683,1.074
2173337.631,1.69,-9.109,0.695
2173337.651,1.329,-9.678,0.885
2173337.671,1.974,-9.784,0.771
2173337.691,2.622,-9.621,0.908
2173337.71,2.728,-9.884,1.188
2173337.73,3.146,-10.669,0.947
2173337.75,2.425,-10.535,0.989
2173337.77,0.638,-10.325,1.288
2173337.789,0.369,-11.597,2.004
2173337.809,1.167,-8.616,0.985
2173337.829,1.037,-7.042,0.619
2173337.849,0.955,-9.784,1.236
2173337.868,1.118,-11.334,1.098
2173337.888,0.897,-8.42,0.908
2173337.908,1.743,-7.97,0.411
2173337.928,3.131,-7.888,-0.002
2173337.948,2.896,-10.166,-0.268
2173337.967,1.464,-10.884,-0.063
2173337.987,0.388,-10.008,0.216
2173338.007,-0.246,-9.406,0.34
2173338.027,-0.03,-9.013,0.453
2173338.046,1.734,-9.41,0.278
2173338.066,1.796,-9.731,0.762
2173338.086,1.143,-9.87,0.847
2173338.106,1.335,-10.439,1.131
2173338.125,0.383,-14.239,2.621
2173338.145,-0.179,-15.335,-0.599
2173338.165,-0.362,-17.507,-1.97
2173338.185,-0.904,-11.406,1.573
2173338.205,1.969,-6.625,-0.111
2173338.224,2.007,-7.544,-1.505
2173338.244,2.204,-2.299,2.26
2173338.264,2.945,1.525,2.573
2173338.284,1.383,-3.045,-0.149
2173338.303,3.026,-7.022,0.596
2173338.323,1.123,-6.285,1.795
2173338.343,0.576,-5.486,0.031
2173338.363,3.901,-8.726,-1.188
2173338.382,4.305,-15.699,-1.382
2173338.402,-0.246,-18.269,0.662
2173338.422,-1.198,-18.297,-0.087
2173338.442,-1.303,-13.445,0.989
2173338.461,-1.144,-9.568,0.662
2173338.481,-1.597,-10.501,0.074
2173338.501,-2.034,-16.149,0.302
2173338.521,-0.943,-19.436,0.638
2173338.541,0.34,-14.651,-0.244
2173338.56,0.134,-5.888,-2.634
2173338.58,1.43,-1.352,-3.236
2173338.6,1.276,-1.62,-1.112
2173338.62,1.742,-0.902,1.236
2173338.639,2.602,-4.079,0.937
2173338.659,5.591,-4.812,3.954
2173338.679,5.822,-6.19,1.895
2173338.699,1.92,-8.358,-0.751
2173338.718,1.358,-14.033,-2.7
2173338.738,2.885,-18.996,-1.177
2173338.758,0.935,-16.776,3.446
2173338.778,1.098,-13.345,5.016
2173338.798,0.339,-11.985,2.645
2173338.817,0.257,-10.693,0.823
2173338.837,0.382,-11.353,-0.376
2173338.857,-0.099,-12.397,-1.112
2173338.877,-2.813,-13.636,-2.311
2173338.896,-3.539,-11.134,-2.785
2173338.916,0.219,-4.563,-1.789
2173338.936,6.792,1.582,0.416
2173338.956,0.487,-0.926,-0.898
2173338.975,1.146,-4.673,1.521
2173338.995,6.114,-8.09,3.37
2173339.015,4.908,-11.507,0.952
2173339.035,2.179,-13.464,-0.443
2173339.055,0.627,-10.961,1.564
2173339.074,-0.565,-12.468,1.369
2173339.094,0.535,-13.617,1.611
2173339.114,1.737,-10.287,0.942
2173339.134,2.558,-7.501,-2.434
2173339.153,1.578,-9.985,3.546
2173339.173,-0.517,-13.278,-1.002
2173339.193,1.352,-12.809,-0.685
2173339.213,0.901,-12.995,1.943
2173339.232,2.265,-10.564,2.436
2173339.252,-1.858,-7.434,1.815
2173339.272,-2.377,-11.095,5.874
2173339.292,0.857,-3.869,-3.8
2173339.312,4.264,-2.926,-6.963
2173339.331,3.663,-7.477,-0.423
2173339.351,2.284,-10.071,5.495
2173339.371,1.395,-13.004,2.569
2173339.391,0.425,-17.168,2.597
2173339.41,2.856,-9.506,1.881
2173339.43,4.744,-7.683,0.738
2173339.45,3.356,-10.392,0.169
2173339.47,1.438,-9.425,-0.485
2173339.489,1.165,-10.971,0.852
2173339.509,2.034,-9.631,0.956
2173339.529,3.784,-6.922,-0.685
2173339.549,5.744,-7.104,4.276
2173339.568,3.442,-8.841,0.288
2173339.588,0.695,-11.564,-0.647
2173339.608,-0.428,-10.707,3.711
2173339.628,-1.21,-8.395,3.881
2173339.648,0.834,-11.304,2.307
2173339.667,2.171,-10.864,2.813
2173339.687,3.022,-8.902,1.543
2173339.707,3.481,-9.686,0.257
2173339.727,2.083,-9.93,0.493
2173339.746,1.446,-9.633,1.556
2173339.766,2.288,-11.03,0.023
2173339.786,3.182,-13.867,-0.138
2173339.806,2.439,-13.087,0.824
2173339.825,0.532,-10.675,3.385
2173339.845,-1.143,-7.612,1.468
2173339.865,1.506,-7.894,-1.225
2173339.885,1.603,-7.434,0.197
2173339.905,1.763,-6.117,-0.738
2173339.924,3.047,-5.835,-0.435
2173339.944,2.754,-8.127,0.14
2173339.964,3.028,-8.094,0.39
2173339.984,4.436,-10.979,-0.287
2173340.003,1.423,-10.199,-4.442
2173340.023,0.49,-7.486,3.435
2173340.043,-0.317,-9.539,3.601
2173340.063,-1.345,-10.434,-0.102
2173340.082,0.308,-10.462,1.851
2173340.102,3.061,-10.697,0.31
2173340.122,2.903,-8.591,-0.088
2173340.142,3.345,-8.151,0.855
2173340.161,0.947,-9.089,0.798
2173340.181,-0.047,-10.534,0.675
2173340.201,-0.764,-11.846,0.728
2173340.221,11.778,-12.54,-1.601
2173340.241,-0.441,-12.597,4.607
2173340.26,-8.063,-6.222,-1.426
2173340.28,3.201,-10.893,-0.956
2173340.3,4.013,-9.783,1.42
2173340.32,1.466,-9.874,1.951
2173340.339,0.544,-9.85,1.88
2173340.359,-0.033,-9.348,1.813
2173340.379,0.601,-9.969,0.671
2173340.399,1.14,-10.663,1.87
2173340.418,0.52,-11.185,1.334
2173340.438,1.149,-9.687,0.144
2173340.458,2.288,-9.721,2.359
2173340.478,1.663,-10.123,1.989
2173340.498,0.808,-10.108,1.102
2173340.517,0.563,-9.663,0.315
2173340.537,0.515,-8.577,0.116
2173340.557,0.683,-8.769,1.055
2173340.577,1.469,-9.32,1.649
2173340.596,2.737,-11.358,0.728
2173340.616,-0.232,-11.038,-0.031
2173340.636,-1.784,-9.018,1.649
2173340.656,2.031,-8.363,2.028
2173340.675,2.685,-6.912,0.302
2173340.695,1.767,-7.07,2.967
2173340.715,2.824,-5.577,4.01
2173340.735,3.578,-5.185,3.479
2173340.754,2.79,-5.128,-0.419
2173340.774,3.079,-4.357,-4.175
2173340.794,0.921,-7.573,-0.656
2173340.814,-0.357,-9.08,2.739
2173340.834,-3.202,-15.421,2.635
2173340.853,-3.428,-18.852,2.094
2173340.873,1.748,-21.169,2.616
2173340.893,3.91,-15.081,1.867
2173340.913,1.07,-9.315,-0.021
2173340.932,0.628,-5.759,-0.035
2173340.952,2.41,-8.31,-0.296
2173340.972,3.439,-10.597,-0.063
2173340.992,0.868,-7.769,2.227
2173341.011,0.734,-8.511,0.965
2173341.031,1.228,-9.195,1.431
2173341.051,0.7,-7.276,2.536
2173341.071,1.209,-8.812,0.202
2173341.091,1.728,-9.621,-0.04
2173341.11,2.401,-11.315,0.662
2173341.13,2.079,-10.98,0.396
2173341.15,1.257,-9.497,0.776
2173341.17,1.32,-9.391,0.359
2173341.189,1.31,-9.827,0.994
2173341.209,1.454,-10.081,0.823
2173341.229,1.223,-9.971,0.074
2173341.249,0.734,-9.851,-0.519
2173341.268,0.44,-9.889,-0.656
2173341.288,0.507,-10.147,-0.447
2173341.308,0.656,-9.995,0.131
2173341.328,0.733,-9.822,0.292
2173341.347,0.979,-9.784,0.435
2173341.367,1.512,-9.626,0.681
2173341.387,2.146,-9.583,0.44
2173341.407,2.261,-9.53,-0.12
2173341.427,1.954,-9.368,0.278
2173341.446,2.155,-9.358,0.729
2173341.466,2.407,-9.487,0.624
2173341.486,2.172,-9.592,0.558
2173341.506,1.768,-9.741,0.624
2173341.525,1.499,-9.783,0.695
2173341.545,1.485,-9.611,0.723
2173341.565,1.662,-9.568,0.643
2173341.585,1.724,-9.65,0.496
2173341.604,1.637,-9.674,0.354
2173341.624,1.459,-9.779,0.188
2173341.644,1.267,-9.832,0.117
2173341.664,1.229,-9.789,0.216
2173341.684,1.388,-9.731,0.259
2173341.703,1.546,-9.674,0.131
2173341.723,1.507,-9.583,-0.087
2173341.743,1.344,-9.559,-0.187
2173341.763,1.185,-9.846,0.008
2173341.782,1.161,-10.071,0.278
2173341.802,1.344,-9.822,0.25
2173341.822,1.589,-9.597,0.487
2173341.842,1.752,-9.635,0.567
2173341.861,1.81,-9.731,0.411
2173341.881,1.747,-9.712,0.321
2173341.901,1.699,-9.654,0.316
2173341.921,1.651,-9.693,0.321
2173341.941,1.521,-9.717,0.292
2173341.96,1.401,-9.683,0.269
2173341.98,1.382,-9.702,0.255
2173342,1.408,-9.735,0.23
2173342.02,1.403,-9.75,0.23
2173342.039,1.441,-9.754,0.23
2173342.059,1.47,-9.735,0.202
2173342.079,1.504,-9.721,0.183
2173342.099,1.489,-9.702,0.207
2173342.118,1.485,-9.721,0.249
2173342.138,1.49,-9.716,0.264
2173342.158,1.5,-9.702,0.249
2173342.178,1.48,-9.721,0.235
2173342.198,1.461,-9.73,0.244
2173342.217,1.447,-9.74,0.211
2173342.237,1.456,-9.716,0.207
2173342.257,1.466,-9.692,0.23
2173342.277,1.5,-9.75,0.211
2173342.296,1.495,-9.754,0.216
2173342.316,1.447,-9.668,0.287
2173342.336,1.49,-9.706,0.311
2173342.356,1.504,-9.726,0.292
2173342.375,1.48,-9.716,0.272
2173342.395,1.48,-9.692,0.301
2173342.415,1.529,-9.687,0.272
2173342.435,1.5,-9.706,0.301
2173342.455,1.495,-9.721,0.306
2173342.474,1.476,-9.711,0.311
2173342.494,1.457,-9.692,0.306
2173342.514,1.481,-9.73,0.258
2173342.534,1.462,-9.706,0.277
2173342.553,1.433,-9.716,0.301
2173342.573,1.428,-9.706,0.329
2173342.593,1.457,-9.702,0.325
2173342.613,1.5,-9.716,0.306
2173342.632,1.462,-9.721,0.272
2173342.652,1.428,-9.692,0.235
2173342.672,1.404,-9.73,0.23
2173342.692,1.385,-9.745,0.235
2173342.711,1.39,-9.721,0.244
2173342.731,1.404,-9.711,0.22
2173342.751,1.433,-9.73,0.192
2173342.771,1.433,-9.774,0.201
2173342.791,1.409,-9.711,0.216
2173342.81,1.428,-9.721,0.216
2173342.83,1.424,-9.774,0.182
2173342.85,1.385,-9.706,0.216
2173342.87,1.429,-9.649,0.263
2173342.889,1.506,-9.716,0.263
2173342.909,1.52,-9.75,0.315
2173342.929,1.506,-9.711,0.367
2173342.949,1.51,-9.697,0.377
2173342.968,1.491,-9.716,0.339
2173342.988,1.447,-9.716,0.315
2173343.008,1.409,-9.716,0.306
2173343.028,1.409,-9.706,0.277
2173343.048,1.394,-9.73,0.225
2173343.067,1.413,-9.745,0.206
2173343.087,1.437,-9.716,0.225
2173343.107,1.428,-9.706,0.211
2173343.127,1.409,-9.735,0.211
2173343.146,1.37,-9.73,0.24
2173343.166,1.38,-9.726,0.253
2173343.186,1.447,-9.721,0.258
2173343.206,1.476,-9.745,0.272
2173343.225,1.457,-9.764,0.287
2173343.245,1.404,-9.697,0.306
2173343.265,1.419,-9.678,0.292
