sample,time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
38,0.37109375,-6.440964425,-1.303774679,10.85314229,133.9369492,-148.758104,-200.9922254
39,0.380859375,-5.908645421,-1.076797164,9.829325578,79.16990633,-166.6250059,-203.2480526
40,0.390625,-6.171801279,-1.18780196,9.334212055,71.11687017,-156.2483778,-216.5163466
41,0.400390625,-5.845999676,-0.224767143,10.63185047,87.14474854,-122.8162024,-224.8924383
42,0.41015625,-5.280062245,0.539139244,11.19163408,60.1309112,-107.5087871,-210.1110848
43,0.419921875,-5.046035389,0.753429913,10.62538903,25.97188856,-98.35888782,-199.2742195
44,0.4296875,-4.869217133,0.791760397,9.572830932,-10.17403307,-74.46907288,-196.9709934
45,0.439453125,-4.981168633,0.729014407,7.885764487,-27.32878124,-45.31723215,-198.5616511
46,0.44921875,-5.504082129,0.676684274,6.287741465,-22.34943781,-26.7452137,-197.9162937
47,0.458984375,-5.780980961,0.298398602,4.770874169,7.430400326,-56.12721886,-202.8622355
48,0.46875,-5.847393172,-0.711380964,4.738575177,58.45511966,-108.6895164,-214.9354948
49,0.478515625,-5.589554454,-0.261186476,6.506024332,111.5281404,-109.6829211,-227.9293001
50,0.48828125,-4.559897678,0.520154432,7.693035761,116.7687423,-95.68395371,-226.126423
51,0.498046875,-4.064287671,-0.353973572,7.542347473,101.4329587,-86.54121778,-212.1701495
52,0.5078125,-3.458009574,-0.185640964,8.621185318,83.78036895,-95.66386328,-168.8639269
53,0.517578125,-2.83274657,-0.27789745,8.873866468,62.32183697,-111.0873686,-105.7355027
54,0.52734375,-4.839649836,-0.149381598,4.607891714,50.79876226,-96.07890555,-44.23917792
55,0.537109375,-6.511049145,-1.793780616,1.681955607,55.45378685,-26.25896081,2.478888113
56,0.546875,-1.554244298,12.83211389,5.363317887,28.96377849,30.84057743,17.5933231
57,0.556640625,-4.514654349,0.302417208,5.351882257,-36.86874733,59.50077163,-101.1486345
58,0.56640625,-4.145810906,-0.163886788,6.007209169,27.08518521,-57.65376131,-47.62024774
59,0.576171875,-2.21077419,0.248534612,10.60438567,27.16414931,-52.68589486,-37.17722777
60,0.5859375,-3.241591075,-0.68819276,10.11679827,14.21876854,-1.252348508,-56.86685703
61,0.595703125,-2.972994956,-0.34534697,9.512106538,16.55000357,-23.09478377,-53.35290701
62,0.60546875,-3.157262735,-0.925740322,8.948193154,12.03412303,-54.72342163,-41.58022913
63,0.615234375,-4.335581789,-2.911534366,6.818520113,22.08572221,-57.85939661,-52.52003031
64,0.625,-4.266050829,-2.202909475,7.244833357,74.16311797,-58.29779645,-49.60141366
65,0.634765625,-6.434240344,-1.157764372,8.243782189,108.4337478,-67.3236632,-20.46319195
66,0.64453125,-7.028358371,-0.012346075,8.84534895,113.4362095,-70.83094932,-42.04062806
67,0.654296875,-5.298737423,-0.303669169,8.398574547,83.13656517,-24.25785506,-98.3558457
68,0.6640625,-4.270380977,-0.384664168,8.080604488,58.52037472,23.21340442,-128.3594844
69,0.673828125,-3.817118699,0.318753285,8.007395573,40.02997207,46.51310072,-144.1039969
70,0.68359375,-3.43143718,0.401867833,7.932584787,25.16099063,38.19361469,-142.4820386
71,0.693359375,-2.233107189,0.930120384,8.286299842,25.38977397,3.556946244,-109.1045061
72,0.703125,-4.242893649,1.638691591,8.44688284,0.66386573,1.342223909,-77.65477309
73,0.712890625,-3.87997262,1.363698163,8.503317864,-21.39711204,7.722072137,-110.6875281
74,0.72265625,-2.853411639,0.08316437,8.983055292,-26.65323114,-10.51514009,-91.71623238
75,0.732421875,-2.442982322,0.395264015,9.298924568,-5.805300342,-26.14332177,-64.52057824
76,0.7421875,-1.866224698,0.80072461,9.072636573,4.072753242,-39.1473108,-52.42412429
77,0.751953125,-0.7539261,0.467623325,9.27490501,14.501058,-41.45264242,-39.11556112
78,0.76171875,-1.334099539,0.480119539,11.184321,26.19731955,-21.14199602,-18.87442841
79,0.771484375,-1.592458067,1.123870789,12.27460746,15.77457716,-4.170426118,-6.037770965
80,0.78125,-1.653616251,0.195353416,11.52816744,14.16320607,-9.109950165,-2.793740402
81,0.791015625,-2.565671243,0.609330389,11.31938732,38.48038964,-21.90097751,-0.554199185
